tank,tube_label,name,sample_type,date,temperature,conductivity,free_chlorine,total_chlorine,NNA_growth_ 42_degrees ,NNA_growth_ 30_degrees ,NNA_30_naegleria_general,NNA_30_naegleria_fowleri_specific ,NNA_30_acanthamoebae_general,NNA_30_NTM,NNA_30_meiothermus,NNA_30_legionella_general,total_DNA_naegleria_general,total_DNA_naegleria_fowleri_specific,total_DNA_acanthamoebae_general,total_DNA_NTM,total_DNA_legionella_general
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 1 #1,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 1 #2,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 1 #3,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 2 #1,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
"Raymond Road, Walliston LHL Tanks 1 + 2",RR Tank 2 #2,WRRT,NA,31/7/17,12,56,0.57,0.69,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Weston Road Tank 2,WR Tank 2 #1,WRT,Pre,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
Weston Road Tank 2,WR Tank 2 #2,WRT,Pre,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,NEG,NEG
Weston Road Tank 2,WR Tank 2 #3,WRT,Post ,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,POS,NEG,NEG
Weston Road Tank 2,WR Tank 2 #4,WRT,Post ,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,POS,POS,NEG
Weston Road Tank 2,WR Tank 2 #5,WRT,Pre,1/8/17,12.5,55,0.96,1.19,NEG,NEG,NA,NA,NA,NA,NA,NA,NEG,NEG,NEG,POS,NEG
